Timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,Label,
0:33:05,0.2956,20.1776,0.6167,88.1787,288,2.88,0.0052,3,0,normal
0:33:06,0.2987,20.1685,0.6283,88.9639,287,2.87,0.0217,3,0,normal
0:33:07,0.3098,20.0305,0.6379,89.2952,282,2.82,0.0238,3,0,normal
0:33:08,0.2959,19.9185,0.6263,89.661,282,2.82,-0.0028,3,0,normal
0:33:09,0.3042,20.0092,0.6308,88.7904,280,2.8,0.0159,3,0,normal
0:33:10,0.3051,19.9676,0.627,89.6049,280,2.8,0.0076,3,0,normal
0:33:11,0.3187,20.086,0.6184,89.5448,277,2.77,-0.002,3,0,normal
0:33:12,0.2996,19.9251,0.6261,89.4753,274,2.74,0.0149,3,0,normal
0:33:13,0.3057,19.9817,0.6017,88.2983,277,2.77,-0.0277,3,0,normal
0:33:14,0.302,20.0728,0.5914,88.7547,278,2.78,-0.006,3,0,normal
0:33:15,0.3011,20.0326,0.6069,88.8155,279,2.79,-0.1116,3,0,normal
0:33:16,0.301,19.9328,0.6119,89.3716,278,2.78,0.0017,3,0,normal
0:33:17,0.3,19.9698,0.5997,89.5169,281,2.81,-0.0003,3,0,normal
0:33:18,0.289,19.953,0.623,90.4052,282,2.82,0.0303,3,0,normal
0:33:19,0.2774,19.9405,0.6089,90.1152,285,2.85,0.0007,3,0,normal
0:33:20,0.2921,19.9874,0.5998,89.4418,286,2.86,0.0011,3,0,normal
0:33:21,0.2949,19.9881,0.5908,89.6496,284,2.84,0.0037,3,0,normal
0:33:22,0.2875,20.0765,0.5943,90.1647,290,2.9,0.0085,3,0,normal
0:33:23,0.2853,19.9829,0.5835,89.8262,291,2.91,0.0019,3,0,normal
0:33:24,0.2844,20.1324,0.5865,90.2602,293,2.93,0.0138,3,0,normal
0:33:25,0.3001,20.1509,0.5869,88.9752,295,2.95,0.0092,3,0,normal
0:33:26,0.3218,20.1745,0.5831,89.5017,297,2.97,0.0107,3,0,normal
0:33:27,0.3104,20.3277,0.5798,90.1139,299,2.99,0.003,3,0,normal
0:33:28,0.3061,20.3896,0.5849,89.3053,300,3,0.0082,3,0,normal
0:33:29,0.3158,20.4523,0.5898,89.0784,301,3.01,-0.1549,3,0,normal
0:33:30,0.2949,20.3526,0.5949,89.2592,301,3.01,-0.1354,3,0,normal
0:33:31,0.2797,20.2569,0.6003,88.7221,299,2.99,0.0108,3,0,normal
0:33:32,0.2839,20.3586,0.596,88.8198,299,2.99,0.0029,3,0,normal
0:33:33,0.2854,20.3627,0.5959,89.1366,298,2.98,0.0054,3,0,normal
0:33:34,0.2975,20.3277,0.5992,89.0956,298,2.98,0.0021,3,0,normal
0:33:35,0.2932,20.3302,0.6147,89.6438,297,2.97,0.0168,3,0,normal
0:33:36,0.2917,20.1624,0.6073,89.5912,293,2.93,-0.0001,3,0,normal
0:33:37,0.2918,20.2306,0.6077,89.8719,294,2.94,0.0102,3,0,normal
0:33:38,0.2835,20.0817,0.6182,89.8,296,2.96,0.0094,3,0,normal
0:33:39,0.2844,20.0245,0.6164,89.0902,297,2.97,0.0033,3,0,normal
0:33:40,0.2795,19.9021,0.5944,88.5819,291,2.91,-0.0088,3,0,normal
0:33:41,0.2848,19.75,0.5837,88.4487,294,2.94,-0.009,3,0,normal
0:33:42,0.2984,19.8897,0.5775,88.8278,292,2.92,0,3,0,normal
0:33:43,0.3056,19.9407,0.5967,89.6247,293,2.93,,3,0,normal
